GLN_GUNCEL;BARKOD_GUNCEL;ADET;MF
8680001412815;8699546095131;2;0
8680001372515;8699546115198;2;0
8680001187102;8699546080274;10;0
8680001117208;8699546095131;2;0
8680001567195;8699546099429;10;0
8680001664115;8699546085767;20;1
8680001155415;8699546705795;5;0
8680001272525;8699546575893;10;1
8680001199013;8699546650057;1;0
8680001108206;8699546015634;3;0
8680001400416;8699546755714;2;0
8680001400416;8699546355174;10;1
8680001400416;8699546095131;2;0
8680001103447;8699546755714;2;0
8680001134861;8699546095100;5;0
8680001628254;8699546015610;20;1
8680001216987;8699546610044;1;0
8680001319701;8699546755714;2;0
8680001297382;8699546358625;4;0
8680001319701;8699546355174;10;1
8680001110735;8699546080274;20;1
8680001183944;8699546099429;20;0
8680001282241;8699546358632;15;1
8680001282241;8699546358625;15;1
8680001544561;8699546370399;2;0
8680001207725;8699546385492;2;0
8680001403752;8699546080274;20;1
8680001375196;8699546370382;2;0
8680001259083;8699546015597;20;1
8680001259083;8699546070879;10;0
8680001212040;8699546575893;10;1
8680001282043;8699546015597;5;0
8680001425891;8699546115198;2;0
8680001242269;8699546020461;12;1
8680001256235;8699546358625;15;1
8680001443703;8699546098248;5;0
8680001366798;8699546099429;20;0
8680001366798;8699546080274;20;1
8680001366798;8699546015634;10;1
8680001482269;8699546705795;20;1
8680001234523;8699546705801;5;0
8680001654277;8699546095131;2;0
8680001359851;8699546755141;3;0
8680001314645;8699546015610;20;1
8680001401475;8699546095131;2;0
8680001572007;8699546755714;2;0
8680001227501;8699546085767;10;0
8680001176397;8699546095131;1;0
8680001480418;8699546098248;5;0
8680001466207;8699546015610;20;1
8680001373192;8699546095131;2;0
8680001684939;8699546385492;30;0
8680001684939;8699546100354;1;0
8680001641192;8699546020454;65;5
8680001114559;8699546575893;20;3
8680001322251;8699546575893;1;0
8680001202829;8699546085767;20;1
8680001245284;8699546080274;6;0
8680001248230;8699546095131;2;0
8680001517626;8699546020447;3;0
8680001263684;8699546010011;10;0
8680001684939;8699546020461;12;1
8680001684939;8699546020454;5;0
8680001684939;8699546020447;12;1
8680001684939;8699546705757;5;0
8680001275564;8699546015610;20;1
8680001684939;8699546015634;1;0
8680001649204;8699546099429;10;0
8680001146031;8699546578078;7;1
8680001268801;8699546020447;144;12
8680001412518;8699546095131;2;0
8680001444861;8699546080274;5;0
8680001696956;8699546350940;5;0
8680001239597;8699546095131;1;0
8680001291083;8699546085767;40;2
8680001445592;8699546385492;20;0
8680001145959;8699546099429;20;0
8680001145959;8699546015610;5;0
8680001223633;8699546020447;4;0
8680001196630;8699546015634;3;0
8680001173228;8699546095131;2;0
8680001225422;8699546385492;10;0
8680001382439;8699546091959;2;0
8680001113057;8699546370412;2;0
8680001322923;8699546010011;3;0
8680001322923;8699546010028;3;0
8680001240890;8699546095131;2;0
8680001526079;8699546578085;1;0
8680001249046;8699546099429;20;0
8680001249046;8699546095100;20;0
8680001428243;8699546099429;1;0
8680001355853;8699546755714;2;0
8680001503223;8699546095100;5;0
8680001239016;8699546115198;2;0
8680001201051;8699546090396;2;0
8680001641192;8699546095100;10;0
8680001223763;8699546578085;7;1
8680001386895;8699546095131;2;0
8680001188710;8699546099429;3;0
8680001208098;8699546085767;20;1
8680001572618;8699546015610;3;0
8680001214303;8699546099429;50;0
8680001697069;8699546755714;2;0
8680001622689;8699546755714;2;0
8680001555253;8699546015610;3;0
8680001503223;8699546385492;5;0
8680001222636;8699546350223;1;0
8680001317189;8699546020447;2;0
8680001256235;8699546350223;2;0
8680001622689;8699546095131;2;0
8680001198580;8699546015634;10;1
8680001210916;8699546020447;1;0
8680001466498;8699546095131;2;0
8680001472666;8699546095131;1;0
8680001498314;8699546095131;2;0
8680001242962;8699546100354;2;0
8680001204977;8699546095131;2;0
8680001497270;8699546095131;2;0
8680001631339;8699546095131;2;0
8680001637942;8699546085767;3;0
8680001422463;8699546095131;2;0
8680001273638;8699546095131;2;0
8680001375554;8699546095131;2;0
8680001451005;8699546095131;2;0
8680001684809;8699546010011;10;0
8680001669509;8699546350209;1;0
8680001447435;8699546755714;2;0
8680001466207;8699546755714;2;0
8680001634170;8699546755714;2;0
8680001153435;8699546385492;20;0
8680001634170;8699546095131;2;0
8680001201433;8699546095131;2;0
8680001132027;8699546755714;2;0
8680001457915;8699546095131;2;0
8680001541959;8699546095131;2;0
8680001466207;8699546095131;2;0
8680001227549;8699546370580;15;1
8680001520794;8699546705801;10;0
8680001339549;8699546095131;2;0
8680001227549;8699546358625;15;1
8680001538980;8699546020447;2;0
8680001259045;8699546755714;2;0
8680001259045;8699546095131;2;0
8680001271580;8699546370382;3;0
8680001625291;8699546015610;20;1
8680001207725;8699546755714;2;0
8680001273638;8699546755714;2;0
8680001380756;8699546755714;2;0
8680001519255;8699546015597;20;1
8680001228355;8699546358823;1;0
8680001282746;8699546080045;1;0
8680001450046;8699546070879;4;0
8680001478118;8699546010011;10;0
8680001228355;8699546358700;1;0
8680001176090;8699546010028;5;0
8680001436071;8699546095100;3;0
8680001416998;8699546095131;1;0
8680001638635;8699546755714;1;0
8680001222704;8699546370412;1;0
8680001234523;8699546010011;6;0
8680001319909;8699546755141;3;0
8680001405763;8699546099429;10;0
8680001231065;8699546099429;5;0
8680001651894;8699546705795;2;0
8680001174843;8699546099429;5;0
8680001174843;8699546575893;2;0
8680001213900;8699546015597;20;1
8680001253128;8699546340057;2;0
8680001697144;8699546091959;1;0
8680001179909;8699546755714;2;0
8680001382460;8699546095131;1;0
8680001547661;8699546095131;1;0
8680001618989;8699546755714;2;0
